cell_loss_b_epoch,cell_loss_b_step,epoch,loss_total_epoch,loss_total_step,pos_loss_b_epoch,pos_loss_b_step,species_loss_epoch,species_loss_step,step
,-0.012511960230767727,24,,-0.043507155030965805,,-0.030995193868875504,,0.0,649
-0.006099289283156395,,24,-0.037436023354530334,,-0.031336743384599686,,0.0,,674
,-0.00489901565015316,25,,-0.03364646062254906,,-0.028747444972395897,,0.0,699
-0.0061456733383238316,,25,-0.037178583443164825,,-0.03103291429579258,,0.0,,701
-0.006132456008344889,,26,-0.03766550496220589,,-0.03153304010629654,,0.0,,728
,-0.0079775620251894,27,,-0.03628744184970856,,-0.028309879824519157,,0.0,749
-0.0061521101742982864,,27,-0.037474099546670914,,-0.03132199868559837,,0.0,,755
-0.0061296806670725346,,28,-0.03723791614174843,,-0.03110824152827263,,0.0,,782
,-0.004306969232857227,29,,-0.036418668925762177,,-0.032111700624227524,,0.0,799
-0.006143682636320591,,29,-0.037440042942762375,,-0.031296372413635254,,0.0,,809
-0.0061247036792337894,,30,-0.037369370460510254,,-0.031244676560163498,,0.0,,836
,-0.005165025591850281,31,,-0.03681374713778496,,-0.03164872154593468,,0.0,849
-0.006182522978633642,,31,-0.03755676746368408,,-0.0313742496073246,,0.0,,863
-0.006156930234283209,,32,-0.037598367780447006,,-0.03144143894314766,,0.0,,890
,-0.007474317215383053,33,,-0.037117280066013336,,-0.029642963781952858,,0.0,899
-0.006173500791192055,,33,-0.03745909407734871,,-0.03128558397293091,,0.0,,917
-0.006158136762678623,,34,-0.03749361261725426,,-0.03133548051118851,,0.0,,944
,-0.0076226438395679,35,,-0.03866289556026459,,-0.0310402512550354,,0.0,949
-0.006170596927404404,,35,-0.03736867010593414,,-0.03119807131588459,,0.0,,971
-0.006137439049780369,,36,-0.03724493086338043,,-0.031107494607567787,,0.0,,998
,-0.005267172586172819,37,,-0.03666610270738602,,-0.03139892965555191,,0.0,999
-0.006165983155369759,,37,-0.03740048408508301,,-0.0312344990670681,,0.0,,1025
,-0.00437980005517602,38,,-0.03387777879834175,,-0.02949797920882702,,0.0,1049
-0.006147794425487518,,38,-0.037742000073194504,,-0.03159420192241669,,0.0,,1052
-0.006066441535949707,,39,-0.03744889795780182,,-0.031382448971271515,,0.0,,1079
,-0.00553493807092309,40,,-0.03612750768661499,,-0.03059256821870804,,0.0,1099
-0.006190938409417868,,40,-0.03773604333400726,,-0.031545113772153854,,0.0,,1106
-0.006163114216178656,,41,-0.03801467642188072,,-0.03185156360268593,,0.0,,1133
,-0.014829380437731743,42,,-0.04892044514417648,,-0.03409106284379959,,0.0,1149
-0.006159130018204451,,42,-0.03765912726521492,,-0.031499993056058884,,0.0,,1160
-0.006180565804243088,,43,-0.03758354112505913,,-0.03140298277139664,,0.0,,1187
,-0.0061998977325856686,44,,-0.036597032099962234,,-0.030397135764360428,,0.0,1199
-0.006132390350103378,,44,-0.0374477356672287,,-0.03131534531712532,,0.0,,1214
-0.006159880198538303,,45,-0.03753224387764931,,-0.03137235715985298,,0.0,,1241
,-0.00658565666526556,46,,-0.039114564657211304,,-0.03252890706062317,,0.0,1249
-0.006179750431329012,,46,-0.03756861388683319,,-0.031388863921165466,,0.0,,1268
-0.0061495378613471985,,47,-0.03742950037121773,,-0.031279969960451126,,0.0,,1295
